0,1,3,4,6,7,9,10,12,13,15,16,pred_x,pred_y,pred_z,inference_time_ms
-80.47061,-43.246983,77.61634,0.31677958,-34.657524,-60.78372,-92.99225,80.48551,54.654877,-30.28195,44.88452,85.86032,-80.59059,20.002533,70,0.6367872150000039
52.225693,-35.547943,-47.583706,35.94918,-85.40144,-6.2515535,-33.80489,-3.4221349,-13.949895,76.23042,94.088394,80.98363,-32.908104,19.838425,70,0.6367872150000039
-46.61757,-83.9731,-46.944447,24.106579,57.933853,-57.163315,-12.65607,94.19345,-56.979282,96.91419,-9.7142725,84.36379,-36.005817,80.62474,70,0.6367872150000039
4.864504,-48.56929,27.165457,-42.76721,-16.05305,-27.35811,68.96103,-25.884232,55.969414,-20.024473,52.810818,-48.262783,55.324738,-45.09075,70,0.6367872150000039
66.449165,34.05067,80.68895,32.282913,40.857235,-42.507145,58.961205,-55.202587,-75.69091,-71.41279,-95.43501,-52.70674,56.632095,-39.336143,70,0.6367872150000039
29.241743,-10.306172,-75.67007,42.779343,-22.939299,-43.44075,68.93756,32.82709,88.25118,94.251816,61.295086,93.930626,54.81418,77.28345,70,0.6367872150000039
-33.941174,33.913654,-37.768764,32.313694,19.14975,-86.59429,-26.865715,-36.394596,98.86729,-93.950615,-60.82901,99.43782,-35.409424,-75.74632,70,0.6367872150000039
59.250336,72.40184,56.52223,71.88394,-49.54164,40.54909,-48.413597,-36.701126,50.71673,66.39749,-21.398575,-86.44165,48.297638,79.895706,70,0.6367872150000039
51.023388,81.88537,45.787685,75.93516,-85.3747,-10.703652,-99.03746,-7.695105,-34.56829,20.952997,-49.76936,96.1061,-77.634995,78.84747,70,0.6367872150000039
66.03536,35.79401,52.57153,-42.341454,21.26891,-95.05101,-95.116745,56.04976,57.932972,11.325692,84.30594,96.72556,57.618835,23.433304,70,0.6367872150000039
-47.302227,-32.157734,-78.0817,7.333727,84.19884,-79.590126,-6.9497733,-39.392803,-29.227377,19.382002,66.84749,81.87052,-35.66548,-25.795685,70,0.6367872150000039
-21.827568,7.4289756,-65.6541,-99.47924,62.944786,78.31013,34.18439,83.24563,-95.84216,12.954558,-53.906605,26.236582,-57.258923,16.296303,70,0.6367872150000039
59.844658,-0.8975677,47.762608,-85.475044,33.50678,28.177952,93.91653,-77.08434,-52.625687,-75.03124,1.6465253,30.762215,52.872345,-81.52753,70,0.6367872150000039
-5.0553517,-94.501656,-50.336674,86.845856,-90.86756,23.820278,65.5778,65.72976,3.0297737,-95.55751,29.003588,-91.60753,-17.233505,-84.55232,70,0.6367872150000039
-87.56694,35.909344,-77.41796,-16.330908,14.21185,13.594247,-15.768365,17.144506,-89.236755,14.174679,-40.34623,-78.34321,-77.55728,12.891769,70,0.6367872150000039
-30.357824,-62.714806,53.957363,53.356194,-75.56719,-90.709854,-15.712116,-47.294636,-37.67163,-66.89443,70.318115,-75.04744,-37.61,-82.58027,70,0.6367872150000039
23.966116,28.502007,-84.6377,-50.97791,-11.9161415,-90.43324,96.8681,-32.226933,-34.18269,-94.21824,77.230515,31.401625,-29.604126,-79.50375,70,0.6367872150000039
32.579178,-92.696884,-46.3287,-96.271126,57.29693,86.04773,21.026978,-30.293087,-39.50908,-42.520226,80.73988,94.530716,-32.581207,-75.97402,70,0.6367872150000039
57.822838,-47.63385,-97.658,30.709173,-8.809784,-40.472946,7.5552187,15.8011,-43.46422,7.008257,-93.414856,83.66153,-73.0446,19.885323,70,0.6367872150000039
-53.605568,20.348234,2.3841658,21.956568,45.278362,98.64722,61.550934,8.581233,67.88588,36.20538,-0.43321562,-94.41461,54.882477,30.4039,70,0.6367872150000039
69.66045,-7.573115,-49.041714,-79.82462,-33.80699,-37.330177,96.20746,12.97396,98.18999,2.8070142,53.48006,-90.38751,55.086975,-76.48563,70,0.6367872150000039
80.592255,82.194046,-91.555466,90.15913,-52.958355,91.05223,-6.4098153,-86.580376,28.604147,-49.52466,11.429358,-25.013268,-24.950409,80.89583,70,0.6367872150000039
