"Step","lr_test: 1e-05 - train_loss","lr_test: 1e-05 - train_loss__MIN","lr_test: 1e-05 - train_loss__MAX","lr_test: 5e-05 - train_loss","lr_test: 5e-05 - train_loss__MIN","lr_test: 5e-05 - train_loss__MAX","lr_test: 0.0001 - train_loss","lr_test: 0.0001 - train_loss__MIN","lr_test: 0.0001 - train_loss__MAX","lr_test: 0.0005 - train_loss","lr_test: 0.0005 - train_loss__MIN","lr_test: 0.0005 - train_loss__MAX","lr_test: 0.001 - train_loss","lr_test: 0.001 - train_loss__MIN","lr_test: 0.001 - train_loss__MAX"
"20","-11.935244379164297","-11.935244379164297","-11.935244379164297","-11.97259886053544","-11.97259886053544","-11.97259886053544","-11.955224194104158","-11.955224194104158","-11.955224194104158","-11.95813574972032","-11.95813574972032","-11.95813574972032","-11.968316536915454","-11.968316536915454","-11.968316536915454"
"21","-11.936593357520767","-11.936593357520767","-11.936593357520767","-11.975611457341834","-11.975611457341834","-11.975611457341834","-11.965408373482619","-11.965408373482619","-11.965408373482619","-11.968557237069819","-11.968557237069819","-11.968557237069819","-11.945774476739425","-11.945774476739425","-11.945774476739425"
"22","-11.938138611709014","-11.938138611709014","-11.938138611709014","-11.97191122513783","-11.97191122513783","-11.97191122513783","-11.97354135634024","-11.97354135634024","-11.97354135634024","-11.958011289186116","-11.958011289186116","-11.958011289186116","-11.933585263505767","-11.933585263505767","-11.933585263505767"
"23","-11.94081097614916","-11.94081097614916","-11.94081097614916","-11.978832510453236","-11.978832510453236","-11.978832510453236","-11.978567026838471","-11.978567026838471","-11.978567026838471","-11.947763286059416","-11.947763286059416","-11.947763286059416","-11.938414501238473","-11.938414501238473","-11.938414501238473"
"24","-11.940893016284026","-11.940893016284026","-11.940893016284026","-11.980739376212977","-11.980739376212977","-11.980739376212977","-11.984160399135154","-11.984160399135154","-11.984160399135154","-11.954054518590999","-11.954054518590999","-11.954054518590999","-11.94804155373875","-11.94804155373875","-11.94804155373875"
"25","-11.943912180164192","-11.943912180164192","-11.943912180164192","-11.97731943975521","-11.97731943975521","-11.97731943975521","-11.980422852914545","-11.980422852914545","-11.980422852914545","-11.966262056857724","-11.966262056857724","-11.966262056857724","-11.942673502089102","-11.942673502089102","-11.942673502089102"
"26","-11.943947188461884","-11.943947188461884","-11.943947188461884","-11.973054052908209","-11.973054052908209","-11.973054052908209","-11.9834866221947","-11.9834866221947","-11.9834866221947","-11.974120478086833","-11.974120478086833","-11.974120478086833","-11.946760938137393","-11.946760938137393","-11.946760938137393"
"27","-11.946830411500569","-11.946830411500569","-11.946830411500569","-11.975887033003795","-11.975887033003795","-11.975887033003795","-11.982549486280996","-11.982549486280996","-11.982549486280996","-11.981494903564453","-11.981494903564453","-11.981494903564453","-11.944796513907518","-11.944796513907518","-11.944796513907518"
"28","-11.948137488546251","-11.948137488546251","-11.948137488546251","-11.971877617172048","-11.971877617172048","-11.971877617172048","-11.976504265507565","-11.976504265507565","-11.976504265507565","-11.983068828341327","-11.983068828341327","-11.983068828341327","-11.95293737966803","-11.95293737966803","-11.95293737966803"
"29","-11.951594171644766","-11.951594171644766","-11.951594171644766","-11.974827742274803","-11.974827742274803","-11.974827742274803","-11.983586890788018","-11.983586890788018","-11.983586890788018","-11.977477979056443","-11.977477979056443","-11.977477979056443","-11.964055000981197","-11.964055000981197","-11.964055000981197"
"30","-11.95304015920132","-11.95304015920132","-11.95304015920132","-11.970354357852212","-11.970354357852212","-11.970354357852212","-11.980700734295423","-11.980700734295423","-11.980700734295423","-11.959152656265452","-11.959152656265452","-11.959152656265452","-11.966226577758789","-11.966226577758789","-11.966226577758789"
"31","-11.951857385756094","-11.951857385756094","-11.951857385756094","-11.97249183171912","-11.97249183171912","-11.97249183171912","-11.989826636978343","-11.989826636978343","-11.989826636978343","-11.931045665016658","-11.931045665016658","-11.931045665016658","-11.974700396573997","-11.974700396573997","-11.974700396573997"
