gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
96.66031,-54.151848,0.0,23.971462,24.100351,0.0,-81.79182,-6.605688,0.0,-82.00558,-27.581753,0.0,-81.6,8.0,90
57.975277,-8.651757,0.0,-92.490685,-17.249733,0.0,61.980648,2.0209851,0.0,53.13459,52.011986,0.0,58.0,45.6,90
-41.098743,-11.285741,0.0,39.80954,-91.87413,0.0,-81.58604,-71.74612,0.0,-79.54307,-80.5287,0.0,-60.5,-98.7,90
19.20605,22.93987,0.0,82.10257,79.09557,0.0,-92.612144,-42.419353,0.0,68.430786,-34.685703,0.0,61.60000000000002,34.20000000000002,90
16.390013,89.85716,0.0,20.501682,93.771706,0.0,53.433,-40.887356,0.0,16.220726,12.518314,0.0,54.70000000000002,77.80000000000001,90
-66.07328,-75.618614,0.0,53.31563,-84.28702,0.0,-22.755566,1.5930897,0.0,-77.433235,97.17311,0.0,-43.4,69.70000000000002,90
52.760666,32.65326,0.0,-45.041576,3.2990744,0.0,-90.07328,47.515327,0.0,83.18303,79.31941,0.0,12.800000000000011,60.5,90
-63.182983,76.76046,0.0,55.943974,-85.32298,0.0,50.98337,-35.456398,0.0,1.8788464,-91.404884,0.0,62.30000000000001,-65.5,90
-79.93847,-96.00611,0.0,-97.83321,65.402565,0.0,52.402493,-19.014233,0.0,-98.34995,-7.7529874,0.0,-88.9,-25.3,90
-17.467188,-93.81258,0.0,-78.8663,99.89722,0.0,-35.391132,53.291653,0.0,-34.07557,36.31102,0.0,-37.6,57.30000000000001,90
-32.37652,-79.04136,0.0,52.506126,97.596405,0.0,38.151947,82.90786,0.0,17.637371,31.265371,0.0,42.1,82.80000000000001,90
-95.660866,-97.26362,0.0,-51.33109,-16.545715,0.0,-74.778595,-76.66598,0.0,-93.33065,-77.49365,0.0,-51.3,-93.5,90
45.301006,-53.093555,0.0,89.41992,30.921368,0.0,33.99631,-44.623634,0.0,-40.249504,52.034824,0.0,30.5,-45.4,90
22.665342,99.34008,0.0,-15.343548,90.82809,0.0,92.23405,17.824982,0.0,-16.10232,-85.24404,0.0,1.3000000000000114,73.4,90
-96.41448,-61.062084,0.0,53.044262,-35.37096,0.0,39.770893,88.78913,0.0,64.13579,33.84665,0.0,53.0,68.60000000000002,90
