gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
-8.059669,18.926394,0.0,-63.28188,-68.09603,0.0,86.76672,6.0162306,0.0,-73.65355,-52.457336,0.0,-39.599999999999994,18.900000000000006,50
75.11101,60.636868,0.0,-52.015564,-94.76896,0.0,-65.38127,1.6645908,0.0,97.71553,-5.3200665,0.0,-28.0,55.80000000000001,50
-60.52782,-96.2852,0.0,-56.494747,-10.820889,0.0,25.77163,54.157448,0.0,-63.128815,-21.228445,0.0,-45.0,-27.799999999999997,50
-31.922657,48.351894,0.0,75.36788,-25.857288,0.0,-18.53125,-13.368357,0.0,84.46461,38.512802,0.0,25.60000000000001,49.70000000000002,50
-75.37941,9.320461,0.0,-10.748738,-99.52134,0.0,-78.50424,-16.770523,0.0,-78.42942,-71.29374,0.0,-71.8,-36.3,50
-94.274475,71.893394,0.0,-31.853884,90.6645,0.0,59.01505,17.340637,0.0,40.695156,25.907719,0.0,39.900000000000006,49.599999999999994,50
74.49733,-73.89425,0.0,12.08309,-74.09455,0.0,85.18471,18.922794,0.0,-69.05411,-6.776464,0.0,87.20000000000002,-57.8,50
-46.089256,-22.37633,0.0,30.364918,35.21322,0.0,98.41634,-58.510815,0.0,16.039276,-76.43338,0.0,-44.099999999999994,-71.8,50
70.638535,-64.63904,0.0,6.1506867,-71.993935,0.0,-82.30189,15.724826,0.0,-70.679,-5.4567633,0.0,-31.700000000000003,-72.3,50
-80.132225,10.6479645,0.0,63.534534,89.34088,0.0,-41.236168,58.029354,0.0,-43.96007,88.547874,0.0,-40.3,63.60000000000002,50
78.88027,-85.489815,0.0,-61.11507,-71.11513,0.0,47.633278,36.171005,0.0,-77.53742,-34.20389,0.0,-49.099999999999994,-69.7,50
-7.104671,-19.048006,0.0,-8.473897,-0.024926662,0.0,-61.594803,-23.507166,0.0,-92.60881,-24.741358,0.0,-19.599999999999994,-37.599999999999994,50
